Date,Close
2019-12-02,3113.870117
2019-12-03,3093.199951
2019-12-04,3112.76001
2019-12-05,3117.429932
2019-12-06,3145.909912
2019-12-09,3135.959961
2019-12-10,3132.52002
2019-12-11,3141.629883
2019-12-12,3168.570068
2019-12-13,3168.800049
2019-12-16,3191.449951
2019-12-17,3192.52002
2019-12-18,3191.139893
2019-12-19,3205.370117
2019-12-20,3221.219971
2019-12-23,3224.01001
2019-12-24,3223.379883
2019-12-26,3239.909912
2019-12-27,3240.02002
2019-12-30,3221.290039
2019-12-31,3230.780029
2020-01-02,3257.850098
2020-01-03,3234.850098
2020-01-06,3246.280029
2020-01-07,3237.179932
2020-01-08,3253.050049
2020-01-09,3274.699951
2020-01-10,3265.350098
2020-01-13,3288.129883
2020-01-14,3283.149902
2020-01-15,3289.290039
2020-01-16,3316.810059
2020-01-17,3329.620117
2020-01-21,3320.790039
2020-01-22,3321.75
2020-01-23,3325.540039
2020-01-24,3295.469971
2020-01-27,3243.629883
2020-01-28,3276.23999
2020-01-29,3273.399902
2020-01-30,3283.659912
2020-01-31,3225.52002
2020-02-03,3248.919922
2020-02-04,3297.590088
2020-02-05,3334.689941
2020-02-06,3345.780029
2020-02-07,3327.709961
2020-02-10,3352.090088
2020-02-11,3357.75
2020-02-12,3379.449951
2020-02-13,3373.939941
2020-02-14,3380.159912
2020-02-18,3370.290039
2020-02-19,3386.149902
2020-02-20,3373.22998
2020-02-21,3337.75
2020-02-24,3225.889893
2020-02-25,3128.209961
2020-02-26,3116.389893
2020-02-27,2978.76001
2020-02-28,2954.219971
2020-03-02,3090.22998
2020-03-03,3003.370117
2020-03-04,3130.120117
2020-03-05,3023.939941
2020-03-06,2972.370117
2020-03-09,2746.560059
2020-03-10,2882.22998
2020-03-11,2741.379883
2020-03-12,2480.639893
2020-03-13,2711.02002
2020-03-16,2386.129883
2020-03-17,2529.189941
2020-03-18,2398.100098
2020-03-19,2409.389893
2020-03-20,2304.919922
2020-03-23,2237.399902
2020-03-24,2447.330078
2020-03-25,2475.560059
2020-03-26,2630.070068
2020-03-27,2541.469971
2020-03-30,2626.649902
2020-03-31,2584.590088
2020-04-01,2470.5
2020-04-02,2526.899902
2020-04-03,2488.649902
2020-04-06,2663.679932
2020-04-07,2659.409912
2020-04-08,2749.97998
2020-04-09,2789.820068
2020-04-13,2761.629883
2020-04-14,2846.060059
2020-04-15,2783.360107
2020-04-16,2799.550049
2020-04-17,2874.560059
2020-04-20,2823.159912
2020-04-21,2736.560059
2020-04-22,2799.310059
2020-04-23,2797.800049
2020-04-24,2836.73999
2020-04-27,2878.47998
2020-04-28,2863.389893
2020-04-29,2939.51001
2020-04-30,2912.429932
2020-05-01,2830.709961
2020-05-04,2842.73999
2020-05-05,2868.439941
2020-05-06,2848.419922
2020-05-07,2881.189941
2020-05-08,2929.800049
2020-05-11,2930.189941
2020-05-12,2870.120117
2020-05-13,2820
2020-05-14,2852.5
2020-05-15,2863.699951
2020-05-18,2953.909912
2020-05-19,2922.939941
2020-05-20,2971.610107
2020-05-21,2948.51001
2020-05-22,2955.449951
2020-05-26,2991.77002
2020-05-27,3036.129883
2020-05-28,3029.72998
2020-05-29,3044.310059
2020-06-01,3055.72998
2020-06-02,3080.820068
2020-06-03,3122.870117
2020-06-04,3112.350098
2020-06-05,3193.929932
2020-06-08,3232.389893
2020-06-09,3207.179932
2020-06-10,3190.139893
2020-06-11,3002.100098
2020-06-12,3041.310059
2020-06-15,3066.590088
2020-06-16,3124.73999
2020-06-17,3113.48999
2020-06-18,3115.340088
2020-06-19,3097.73999
2020-06-22,3117.860107
2020-06-23,3131.290039
2020-06-24,3050.330078
2020-06-25,3083.76001
2020-06-26,3009.050049
2020-06-29,3053.23999
2020-06-30,3100.290039
2020-07-01,3115.860107
2020-07-02,3130.01001
2020-07-06,3179.719971
2020-07-07,3145.320068
2020-07-08,3169.939941
2020-07-09,3152.050049
2020-07-10,3185.040039
2020-07-13,3155.219971
2020-07-14,3197.52002
2020-07-15,3226.560059
2020-07-16,3215.570068
2020-07-17,3224.72998
2020-07-20,3251.840088
2020-07-21,3257.300049
2020-07-22,3276.02002
2020-07-23,3235.659912
2020-07-24,3215.629883
2020-07-27,3239.409912
2020-07-28,3218.439941
2020-07-29,3258.439941
2020-07-30,3246.219971
2020-07-31,3271.120117
